schemaVersion,recordType,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date
1.0,RESEARCH_PAPER,WikiSkill: Compiling Agent Experience into Persistent Knowledge for Skill Evolution,"Liyan Tang, Cyrus Rashtchian, Chun-Sung Ferng, Andrew Tomkins, Da-Cheng Juan, Tu Vu",http://arxiv.org/abs/2608.27454v1,,,2026-08-27T17:59:11+00:00
1.0,RESEARCH_PAPER,"SWE-Prime: Fewer Trajectories, Better Performance","Dewu Zheng, Ruizhe Ye, Yanlin Wang, Yang Ye, Hongyu Zhang, Ensheng Shi, Xilin Liu, Yuchi Ma, Jianxing Yu, Zibin Zheng",http://arxiv.org/abs/2608.27449v1,,,2026-08-27T17:58:10+00:00
1.0,RESEARCH_PAPER,From Static to Dynamic: Benchmarking Real-World Code Review with MCR-Bench,"Dewu Zheng, Yanlin Wang, Xiwen Wang, Kefeng Duan, Hongyu Zhang, Xilin Liu, Yuchi Ma, Zibin Zheng",http://arxiv.org/abs/2608.27442v1,,,2026-08-27T17:56:24+00:00
1.0,RESEARCH_PAPER,RedEvoAgent: Automatic Red-Teaming Agent with Experience-Driven Skill Evolution,"Junjie Zhang, Hui Liu, Kecheng Chen, Xianbo Mo, Changsheng Chen, Haoliang Li",http://arxiv.org/abs/2608.27439v1,,,2026-08-27T17:55:33+00:00
1.0,RESEARCH_PAPER,Mechanistic Reaction Prediction via Discrete Flow Matching on Graph-Structured Electron Occupation,"Nguyen Xuan-Vu, Octavian Susanu, Daniel Armstrong, Philippe Schwaller",http://arxiv.org/abs/2608.27429v1,,,2026-08-27T17:50:44+00:00
1.0,RESEARCH_PAPER,Persona-Execution Separation: An Architecture Pattern for Evolving LLM Agents under Execution Audit,Yisen Xi,http://arxiv.org/abs/2608.27427v1,,,2026-08-27T17:50:07+00:00
1.0,RESEARCH_PAPER,Beyond F1: Evaluating Coverage and Failure Recovery in AI Model Security Scanners,"Qianlong Lan, Vinothini Pandurangan, Anuj Kaul, Indranil Sanyal",http://arxiv.org/abs/2608.27424v1,,,2026-08-27T17:49:28+00:00
1.0,RESEARCH_PAPER,Learning a Continuous Sepsis Severity Score Without Hour-by-Hour Supervision: A Two-Site Retrospective Study,"Kevin Zhu, Ryan Zhang, Baraa Abed, Tilendra Choudhary, Malvern Madondo, Mehak Arora, Yixuan Yang, Alasdair Gent, Aditya Nagori, Omer T. Inan, Krista L. Haines, Patrick Georgoff, Suresh M. Agarwal, Vijay Krishnamoorthy, Tetsu Ohnuma, Mihai V. Podgoreanu, Michael R. Pinsky, Gilles Clermont, Craig M. Coopersmith, Craig S. Jabaley, Rishikesan Kamaleswaran",http://arxiv.org/abs/2608.27421v1,,,2026-08-27T17:46:21+00:00
1.0,RESEARCH_PAPER,CLAP: Cross-Embodiment Video World Models are Zero-Shot Physical Simulators,"Kechen Liu, Ola Shorinwa",http://arxiv.org/abs/2608.27406v1,,,2026-08-27T17:35:10+00:00
1.0,RESEARCH_PAPER,How Language Models Organize and Structure Moral Knowledge,Orion Reblitz-Richardson,http://arxiv.org/abs/2608.27402v1,,,2026-08-27T17:30:30+00:00
1.0,RESEARCH_PAPER,Making Clinical Language Models Auditable: Concept-Guided Fine-Tuning for Robust Prediction,"Jin Mu, Guanhua Chen",http://arxiv.org/abs/2608.27397v1,,,2026-08-27T17:28:35+00:00
