schemaVersion,recordType,content.title,content.url,content.source,content.published_date,content.summary,content.entities_mentioned,collectedAt
1.0,NEWS,EduRiskX: A Neuro-Symbolic Framework with F-Logic Reasoning for Early Academic Risk Prediction,https://arxiv.org/abs/2608.26107,ArXiv AI News Feed,2026-08-28T04:00:00+00:00,"arXiv:2608.26107v1 Announce Type: new Abstract: Predicting students' academic risk in online education is crucial for enabling timely interventions that can improve retention and learning outcomes. However, existing models often suffer from limited early detection capability and insufficient interpretability, leading to a ""black-box"" trust crisis that hinders their adoption in real-world pedagogical settings. To address these challenges, we propose EduRiskX, a neuro-symbolic framework that integ",,2026-08-28T20:05:22.631140+00:00
1.0,NEWS,Standalone LLM and a Pre-specified Agentic Pipeline for Explaining ICU Mortality Predictions: a Feasibility Study on the eICU Demo Dataset,https://arxiv.org/abs/2608.26109,ArXiv AI News Feed,2026-08-28T04:00:00+00:00,"arXiv:2608.26109v1 Announce Type: new Abstract: Machine-learning models can predict ICU mortality accurately, but feature-attribution methods alone rarely provide the clinical narrative needed for bedside use. Large language models (LLMs) may bridge this gap, and multi-step agentic pipelines are a plausible extension because they separate data interpretation, guideline checking, and final explanation. This revised feasibility study preserves the original standalone-versus-agentic comparison whil",,2026-08-28T20:05:22.631140+00:00
1.0,NEWS,Large Models for Battery Prognostics and Health Management: A Review and Future Roadmap,https://arxiv.org/abs/2608.26111,ArXiv AI News Feed,2026-08-28T04:00:00+00:00,"arXiv:2608.26111v1 Announce Type: new Abstract: Battery Prognostics and Health Management (BPHM) is critical for ensuring the safe, reliable, and cost-effective operation of batteries across electric vehicles, grid storage, and consumer electronics. Conventional BPHM approaches, including physics-based models and task-centric deep learning methods, face challenges in computational efficiency and parameterization, cross-domain generalization, dependence on extensive labeled run-to-failure data, a",,2026-08-28T20:05:22.631140+00:00
1.0,NEWS,PICasso: An AI-Enabled Design Framework for Autonomous Optimization of Silicon Photonic Devices,https://arxiv.org/abs/2608.26113,ArXiv AI News Feed,2026-08-28T04:00:00+00:00,"arXiv:2608.26113v1 Announce Type: new Abstract: We present PICasso, an AI-assisted framework for automated synthesis, verification, and optimization of photonic integrated circuits (PICs) from natural-language specifications. PICasso couples a structured NL -> YAML -> GDS generation pipeline with PDK aware knowledge injection, automated placement and routing, DRC/LVS validation, and SAX-based photonic simulation. To systematically evaluate AI-driven photonic design, we introduce PIC-Set, a bench",,2026-08-28T20:05:22.631140+00:00
1.0,NEWS,CIFQA: A Deterministic Tool-Grounded Multi-Agent LLM Framework for Financial Query Answering,https://arxiv.org/abs/2608.26114,ArXiv AI News Feed,2026-08-28T04:00:00+00:00,"arXiv:2608.26114v1 Announce Type: new Abstract: Calculation-intensive financial question answering requires exact reasoning over structured rates, temporal conditions, numerical formulas, and rule-based constraints. Although Large Language Models (LLMs) perform strongly on natural language tasks, they often produce numerically incorrect yet plausible answers when solving multi-step financial calculations. To address this limitation, we introduce CIFQA (Calculation-Intensive Financial Query Answe",,2026-08-28T20:05:22.631140+00:00
1.0,NEWS,The Artificial Experimentalist: Discovery and Control of Self-Organizing Phenomena with Autotelic Reinforcement Learning,https://arxiv.org/abs/2608.26116,ArXiv AI News Feed,2026-08-28T04:00:00+00:00,"arXiv:2608.26116v1 Announce Type: new Abstract: Existing methods for exploring cellular automata and other complex systems mostly operate in open loop: they set initial conditions, execute a full simulation, and observe the outcome, without intervening during execution. We introduce a closed-loop framework based on autotelic reinforcement learning, in which an agent autonomously samples diverse goals and learns a goal-conditioned policy to intervene in a complex system through minimal, local per",,2026-08-28T20:05:22.631140+00:00
1.0,NEWS,The Accuracy-Efficiency Paradox Quantifying Net Energy Loss in on-Device Energy Forecasting,https://arxiv.org/abs/2608.26134,ArXiv AI News Feed,2026-08-28T04:00:00+00:00,"arXiv:2608.26134v1 Announce Type: new Abstract: Energy forecasting aims to maximize accuracy to ensure energy efficiency by reducing energy waste, an objective that applies equally to on-device forecasting for mission-critical edge environments, including military systems. However, this paper identifies the Accuracy-Efficiency Paradox: high-precision energy forecasting models can ironically trigger a net energy deficit. This stems from both edge AI's inference energy consumption and battery agin",,2026-08-28T20:05:22.631140+00:00
1.0,NEWS,LLMs for Academic Workflows: An Evaluation of Literature Reviews Generated with Short and Long Context Windows of LLMs,https://arxiv.org/abs/2608.26145,ArXiv AI News Feed,2026-08-28T04:00:00+00:00,arXiv:2608.26145v1 Announce Type: new Abstract: Our research focuses on evaluating literature reviews generated in short and long context settings of large language models (LLMs) to investigate the impact of context window on the quality of AI-generated literature reviews and the role of AI in supporting literature review writing. Twenty AI-generated literature reviews based on research sources from Semantic Scholar and Arxiv were evaluated by two researchers across 15 dimensions. Our findings r,,2026-08-28T20:05:22.631140+00:00
1.0,NEWS,Methodological and Conceptual Framework for 5D Multi-Table Analysis: A Unified Approach for Complex Data Reuse,https://arxiv.org/abs/2608.26149,ArXiv AI News Feed,2026-08-28T04:00:00+00:00,"arXiv:2608.26149v1 Announce Type: new Abstract: Multi-table learning remains a major challenge in machine learning for healthcare and other complex information systems. Relational data combine several sources of complexity, including large data volume, high-dimensional variables, high-cardinality categorical features, complex inter-table dependencies, and repeated temporal observations. We introduce the Relational Hypergraph Transformer (RHT), a unified architecture that represents relational da",,2026-08-28T20:05:22.631140+00:00
1.0,NEWS,Leveraging Large Language Models for Systematic Literature Review of Disease Spread Models,https://arxiv.org/abs/2608.26150,ArXiv AI News Feed,2026-08-28T04:00:00+00:00,"arXiv:2608.26150v1 Announce Type: new Abstract: Recent advancements in Large Language Models (LLMs) have created new opportunities to streamline and potentially automate many research processes, including systematic literature reviews (SLRs). This study reports an LLM pipeline development for extracting model-relevant information from 536 peer-reviewed agent-based modeling papers. We compare the results with those of a human-conducted SLR. Our results show paper-level accuracies of approximately",,2026-08-28T20:05:22.631140+00:00
